Trdmnt,size_quintile,bm_quintile,portfolio,vw_return,excess_return,n_stocks
2024-04,4,2,S4B2,0.011632059825773113,0.010432059825773114,139
2024-04,4,3,S4B3,0.02021181203342043,0.01901181203342043,119
2024-04,4,4,S4B4,0.028039020053392264,0.026839020053392264,102
2024-04,4,5,S4B5,0.020286733227015755,0.019086733227015755,153
2024-04,5,1,S5B1,0.008600337014930737,0.007400337014930737,162
2024-04,5,2,S5B2,0.034039144307421505,0.032839144307421506,94
2024-04,5,3,S5B3,0.03516291278051519,0.03396291278051519,82
2024-04,5,4,S5B4,0.03191281192331323,0.03071281192331323,104
2024-04,5,5,S5B5,0.02911583349466541,0.02791583349466541,182
2024-05,1,1,S1B1,-0.043830655141986155,-0.045030655141986155,133
2024-05,1,2,S1B2,-0.017495609554817267,-0.018695609554817267,128
2024-05,1,3,S1B3,-0.03878368990150881,-0.03998368990150881,138
2024-05,1,4,S1B4,-0.022455240570179117,-0.023655240570179117,146
2024-05,1,5,S1B5,-0.01474278364702802,-0.01594278364702802,55
2024-05,2,1,S2B1,-0.05460622819581866,-0.05580622819581866,98
2024-05,2,2,S2B2,-0.02199064815697955,-0.02319064815697955,123
2024-05,2,3,S2B3,-0.010403922175907628,-0.011603922175907628,151
2024-05,2,4,S2B4,-0.01650794158579948,-0.01770794158579948,140
2024-05,2,5,S2B5,-0.011558398765540122,-0.012758398765540122,110
2024-05,3,1,S3B1,-0.036294806948101194,-0.03749480694810119,111
2024-05,3,2,S3B2,-0.026979420241781613,-0.028179420241781612,137
2024-05,3,3,S3B3,-0.0220151352661046,-0.023215135266104598,127
2024-05,3,4,S3B4,-0.02954506395867497,-0.03074506395867497,128
2024-05,3,5,S3B5,-0.008786413894410587,-0.009986413894410587,118
2024-05,4,1,S4B1,-0.027438766812535834,-0.028638766812535833,111
2024-05,4,2,S4B2,-0.008007173569398871,-0.00920717356939887,139
2024-05,4,3,S4B3,-0.02085507526309205,-0.02205507526309205,119
2024-05,4,4,S4B4,-0.00568771019605209,-0.0068877101960520895,102
2024-05,4,5,S4B5,-0.0011330282182416746,-0.0023330282182416747,152
2024-05,5,1,S5B1,-0.02616882272441442,-0.02736882272441442,162
2024-05,5,2,S5B2,-0.004891649449028781,-0.0060916494490287805,94
2024-05,5,3,S5B3,-0.004969184263314078,-0.0061691842633140774,82
2024-05,5,4,S5B4,0.002977763078997336,0.0017777630789973361,104
2024-05,5,5,S5B5,0.012193948344425769,0.010993948344425769,182
2024-06,1,1,S1B1,-0.11465624609286582,-0.11585624609286582,137
2024-06,1,2,S1B2,-0.0938635277775107,-0.0950635277775107,128
2024-06,1,3,S1B3,-0.08778069136951785,-0.08898069136951786,138
2024-06,1,4,S1B4,-0.08243043414893972,-0.08363043414893973,146
2024-06,1,5,S1B5,-0.10072375020807396,-0.10192375020807397,55
2024-06,2,1,S2B1,-0.0946918748967162,-0.0958918748967162,98
2024-06,2,2,S2B2,-0.11222359823587603,-0.11342359823587604,123
2024-06,2,3,S2B3,-0.08839169857943677,-0.08959169857943677,151
2024-06,2,4,S2B4,-0.10407768964885578,-0.10527768964885578,140
2024-06,2,5,S2B5,-0.10016260154292066,-0.10136260154292066,109
2024-06,3,1,S3B1,-0.10708369902758695,-0.10828369902758696,111
2024-06,3,2,S3B2,-0.09424679103523238,-0.09544679103523239,137
2024-06,3,3,S3B3,-0.10227591784575833,-0.10347591784575834,127
2024-06,3,4,S3B4,-0.08984259082387616,-0.09104259082387617,128
2024-06,3,5,S3B5,-0.09859634011199114,-0.09979634011199115,117
2024-06,4,1,S4B1,-0.10627659334071791,-0.10747659334071792,111
